tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
121+05610,US-11W,NORTHBOUND,TN-31/FLAT GAP RD,TN,HAWKINS,37811,36.33781,-83.2846,36.34261,-83.22879,3.293232,18.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N10818,WINCHESTER RD,WESTBOUND,S PERKINS RD,TN,SHELBY,38118,35.05113,-89.90749,35.05114,-89.9081,0.034511,13.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N10817,WINCHESTER RD,WESTBOUND,LAMAR AVE,TN,SHELBY,38118,35.05159,-89.92516,35.05169,-89.92719,0.115509,15.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05616,US-11W,NORTHBOUND,TN--VA STATE BORDER,TN,SULLIVAN,37620,36.59235,-82.22131,36.59549,-82.21114,0.610002,51.0,America/New_York,P3.14,USA,2021-03-30 14:00:00-04:00,null
121+05615,US-11W,NORTHBOUND,I-81 (BRISTOL) (WEST),TN,SULLIVAN,37620,36.57653,-82.35366,36.58924,-82.26203,5.450136,47.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05614,US-11W,NORTHBOUND,TN-93/N JOHN B DENNIS HWY,TN,SULLIVAN,37660,36.54729,-82.51708,36.54547,-82.51204,0.306713,40.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05613,US-11W,NORTHBOUND,I-26/US-23,TN,SULLIVAN,37660,36.55409,-82.61562,36.55604,-82.58419,1.756885,34.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05619,TN-61,EASTBOUND,TN-62/WINTER GAP RD,TN,ROANE,37840,35.99267,-84.42098,36.04708,-84.34666,5.720895,4.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N10805,MALLORY AVE,WESTBOUND,I-55,TN,SHELBY,38109,35.08704,-90.07506,35.0873,-90.07841,0.191188,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N10804,US-72,WESTBOUND,US-79/US-70/E PARKWAY N,TN,SHELBY,38112,35.14048,-89.9829,35.14076,-89.98358,0.043009,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113N10809,WINCHESTER RD,WESTBOUND,GEMINI DR,TN,SHELBY,38109,35.05501,-90.05147,35.05504,-90.05209,0.035129,23.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05620,TN-61,EASTBOUND,TN-62,TN,ANDERSON,37840,36.04122,-84.33688,36.01885,-84.30253,2.56005,6.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05627,US-11E,NORTHBOUND,US-19,TN,SULLIVAN,37618,36.45058,-82.28727,36.453519991355,-82.286180001303,0.213994,48.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05626,US-11E,NORTHBOUND,TN-381,TN,WASHINGTON,37601,36.36011,-82.38424,36.36502,-82.38099,0.389609,43.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05625,US-11E,NORTHBOUND,I-26/US-19W/US-23,TN,WASHINGTON,37601,36.32976,-82.36962,36.34589,-82.37773,1.202737,39.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
121+05629,US-11E,NORTHBOUND,TN--VA STATE BORDER,TN,SULLIVAN,37620,36.59283,-82.18868,36.59456,-82.1887,0.119821,56.0,America/New_York,P3.14,USA,2021-03-30 14:00:00-04:00,null
121+05628,US-11E,NORTHBOUND,TN-394,TN,SULLIVAN,37618,36.45905,-82.2854,36.500669978624,-82.266700002639,3.191607,50.0,America/New_York,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14843,US-72,EASTBOUND,I-269,TN,SHELBY,38017,35.02186,-89.6581,35.01358,-89.64688,0.85898,37.0005,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11567,TN-174,WESTBOUND,TN-109,TN,SUMNER,37066,36.38898,-86.45872,36.38789,-86.47366,0.848348,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09246,TN-255,SOUTHBOUND,DANBY DR,TN,DAVIDSON,37211,36.07929,-86.72717,36.07862,-86.74521,1.050332,15.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11566,TN-174,WESTBOUND,TN-386,TN,SUMNER,37066,36.38779,-86.47648,36.38607,-86.49199,0.879101,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09247,TN-255,SOUTHBOUND,US-31 ALT/US-41 ALT/TN-11/NOLENSVILLE PIKE,TN,DAVIDSON,37211,36.08268,-86.71049,36.07975,-86.72573,0.888096,13.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09244,TN-255,SOUTHBOUND,I-65,TN,DAVIDSON,37211,36.08144,-86.75957,36.08228,-86.76211,0.153327,18.0,America/Chicago,P1.3,USA,2021-03-30 14:00:00-04:00,null
121-09245,TN-255,SOUTHBOUND,TROUSDALE DR,TN,DAVIDSON,37211,36.07862,-86.74521,36.08106,-86.75764,0.734626,16.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09243,TN-255,SOUTHBOUND,US-31/TN-6/FRANKLIN PIKE,TN,DAVIDSON,37204,36.08315,-86.76663,36.08654,-86.77113,0.355922,20.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09240,GALLATIN PIKE,SOUTHBOUND,HOME RD,TN,DAVIDSON,37216,36.22913,-86.72515,36.2102,-86.7336,1.413579,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14842,TN-175,NORTHBOUND,COLLIERVILLE RD,TN,SHELBY,38017,35.00701,-89.68902,35.02751,-89.68888,1.416937,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09241,GALLATIN PIKE,SOUTHBOUND,BROADMOOR DR,TN,DAVIDSON,37216,36.23359,-86.72483,36.22913,-86.72515,0.308953,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11561,TN-840,WESTBOUND,PINEWOOD RD,TN,WILLIAMSON,37179,35.81653,-86.98823,35.87301,-87.09343,7.958994,1.002,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11560,TN-840,WESTBOUND,FAIRVIEW BLVD/TN-100,TN,WILLIAMSON,37064,35.883,-87.10276,35.932159967261,-87.18336996712,5.740055,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11563,TN-386,SOUTHBOUND,BIG STATION CAMP BLVD,TN,SUMNER,37066,36.37604,-86.5047,36.360890036563,-86.529909935001,1.760799,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11562,TN-840,WESTBOUND,COLUMBIA PIKE/US-31,TN,WILLIAMSON,37064,35.8222,-86.85982,35.82137,-86.87888,1.073847,31.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11564,TN-386,SOUTHBOUND,GREENLEA BLVD/HARRIS LN,TN,SUMNER,37066,36.38544,-86.493,36.3814,-86.49821,0.402602,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121P05209,US-31,NORTHBOUND,TN-247/BEECHCROFT RD/DUPLEX RD,TN,MAURY,37174,35.75251,-86.92889,35.75297,-86.9284,0.042004,189.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50123,TN-243,SOUTHBOUND,US-43 (NORTH),TN,MAURY,38474,35.55609,-87.18206,35.5552,-87.18388,0.119358,3.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50125,TN-243,SOUTHBOUND,ZION RD,TN,MAURY,38401,35.57405,-87.14087,35.57383,-87.14136,0.031448,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14836,HOLMES RD,EASTBOUND,HACKS CROSS RD,TN,SHELBY,38125,35.00585,-89.83097,35.00592,-89.7955,2.007468,20.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14837,HOLMES RD,EASTBOUND,FOREST HILL IRENE RD,TN,SHELBY,38125,35.00592,-89.7955,35.00604,-89.75962,2.030339,21.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50127,ZION RD,SOUTHBOUND,N MAIN ST,TN,MAURY,38401,35.57446,-87.14112,35.57405,-87.14087,0.031615,1.5,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14838,HOLMES RD,EASTBOUND,CENTER HILL RD,TN,SHELBY,38017,35.00604,-89.75962,35.0061499997,-89.741980028894,0.998156,22.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121N50128,ZION RD,SOUTHBOUND,US-43,TN,MAURY,38401,35.58155,-87.1454,35.58066,-87.14485,0.068824,1.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09248,TN-255,SOUTHBOUND,TAMPA DR,TN,DAVIDSON,37211,36.08532,-86.70213,36.08268,-86.71049,0.501097,12.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09249,TN-255,SOUTHBOUND,I-24,TN,DAVIDSON,37211,36.08744,-86.69218,36.08673,-86.69772,0.320124,10.0,America/Chicago,P1.3,USA,2021-03-30 14:00:00-04:00,null
113+14839,HOLMES RD,EASTBOUND,S BYHALIA RD,TN,SHELBY,38017,35.00615,-89.74198,35.00622,-89.689440024994,2.972902,23.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14832,HOLMES RD,EASTBOUND,US-78/LAMAR AVE,TN,SHELBY,38118,35.00595,-89.90151,35.00504,-89.88698,0.833817,14.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09235,GALLATIN PIKE,SOUTHBOUND,10TH ST,TN,DAVIDSON,37206,36.18337,-86.74857,36.17842,-86.75126,0.378689,8.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09236,GALLATIN PIKE,SOUTHBOUND,W EASTLAND AVE,TN,DAVIDSON,37206,36.19268,-86.74442,36.18337,-86.74857,0.683637,7.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14833,HOLMES RD,EASTBOUND,HICKORY HILL RD,TN,SHELBY,38141,35.00535,-89.88469,35.00581,-89.86439,1.155413,16.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14834,HOLMES RD,EASTBOUND,CRUMPLER RD,TN,SHELBY,38141,35.00581,-89.86439,35.00581,-89.84862,0.892316,17.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11558,TN-431,EASTBOUND,TN-22,TN,OBION,38261,36.40384,-89.00309,36.40619,-88.99455,0.504647,4.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09233,TN-45,WESTBOUND,CHANDLER RD,TN,DAVIDSON,37076,36.1712,-86.60167,36.18367,-86.61066,1.033908,2.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
113+14835,HOLMES RD,EASTBOUND,RIVERDALE RD,TN,SHELBY,38141,35.00581,-89.84862,35.00585,-89.83097,0.998871,18.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-11557,TN-22,SOUTHBOUND,US-51/TN-3/EVERETTE BLVD/MAIN ST,TN,OBION,38261,36.43348,-89.08611,36.42708,-89.06816,1.130119,6.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
121-09231,TN-45,WESTBOUND,SHUTE LN,TN,DAVIDSON,37138,36.19916,-86.62047,36.23229,-86.62471,2.327749,5.0,America/Chicago,P1.11,USA,2021-03-30 14:00:00-04:00,null
