"Rank","Head Location","Starting TMC Code","Latitude","Longitude","Average max length","Average daily duration","Total duration","All events/incidents","Volume Estimate","Base Impact","Speed differential","Congestion","TOTAL DELAY","Segment IDs"
173,"US-70S W @ HILLWOOD BLVD/LYNNWOOD BLVD","121+08647","36.12226","-86.85141","1.01"," 46 m"," 23 h 17 m","0","20,448","1,103","19,798","1,529","844,186","121+08647, 121P05892, 121+05892, 121+05893, 121+08648, 121P08618, 121+08618, 121+08649, 121+08650"
174,"TN-155 S @ US-70/TN-1/HARDING RD","121P05902","36.12497","-86.8476","0.08"," 9 h 21 m","11 d 16 h 47 m","0","20,594","1,170","18,495","1,481","843,381","121P05902, 121+05902, 121+09010, 121P05904, 121+05904, 121P05903"
175,"WALNUT GROVE RD E @ HUMPHREYS BLVD","113+10843","35.13085","-89.86021","0.46"," 1 h 23 m","1 d 17 h 56 m","0","27,162","1,109","23,310","1,435","834,300","113+10843, 113P10842, 113+10842, 113+10841, 113P10840, 113+10840, 113+10839, 113+10838, 113+10837, 113+10836, 113P10835"
176,"TN-153 N @ TN-58/AMNICOLA HWY","121+04363","35.08837","-85.21541","1.14"," 18 m"," 9 h 3 m","0","35,369","611","22,680","1,216","806,516","121+04363, 121P04362, 121+04362, 121P04361, 121+04361, 121P04360, 121+04360, 121P04359"
177,"US-41 N @ TN-17/TENNESSEE AVE","121+09475","35.01452","-85.3251","0.35"," 2 h 13 m","2 d 18 h 48 m","0","11,984","1,459","25,980","2,223","805,181","121+09475, 121+09474, 121+09473, 121+09472, 121P09471, 121+09471, 121+09470"
178,"TN-268 S @ SIEGAL RD","121-50919","35.91224","-86.40177","1.01"," 1 h 7 m","1 d 9 h 59 m","0","11,613","2,044","42,026","2,836","802,326","121-50919, 121N50920"
179,"MEDICAL CENTER PKWY E @ THOMPSON LN","121P12462","35.85775","-86.43004","0.08"," 9 h 7 m","11 d 9 h 54 m","0","13,685","1,521","24,951","2,025","798,436","121P12462, 121+12462, 121P12461"
180,"US-11 S @ TN-17/TENNESSEE AVE","121-08441","35.01452","-85.3251","0.35"," 2 h 13 m","2 d 18 h 48 m","0","12,151","1,435","25,627","2,184","795,551","121-08441, 121-08442, 121-08443, 121-08444, 121N08445, 121-08445, 121N08446"
181,"US-70S E @ E THOMPSON LN/THOMPSON PL","121-08629","36.12667","-86.71115","1.25"," 45 m"," 22 h 30 m","0","14,846","1,407","23,394","1,866","783,852","121-08629, 121N08628, 121-08628, 121-08656, 121-08627, 121-08626, 121-08625"
182,"TN-254 E @ US-431/TN-106/HILLSBORO PIKE","121+09258","36.0473","-86.86272","2.74"," 36 m"," 18 h 24 m","0","8,356","3,018","62,733","4,046","780,754","121+09258, 121P09257"
183,"US-70S W @ NASHBORO BLVD/UNA ANTIOCH PIKE","121P08633","36.08685","-86.6486","0.2"," 5 h 14 m","6 d 13 h 3 m","0","15,434","1,328","23,371","1,812","774,492","121P08633, 121+08633, 121+08634, 121P08635, 121+08635, 121+08636"
184,"US-78 S @ E HOLMES RD","113-05565","35.00644","-89.88762","1.37"," 19 m"," 9 h 48 m","0","20,057","828","12,930","1,163","772,004","113-05565, 113N05564, 113-05564"
185,"US-441 N @ TN-33/MAYNARDVILLE HWY","121+10423","36.0816","-83.92719","1.77"," 24 m"," 12 h 19 m","0","18,670","1,255","22,024","1,606","769,303","121+10423, 121+10422, 121+10421, 121P10420, 121+10420, 121P10419, 121+10419, 121P10418"
186,"US-11 N @ W 25TH ST","121+08444","35.0285","-85.31625","0.14"," 5 h 30 m","6 d 21 h 6 m","0","13,993","1,371","24,405","1,936","767,307","121+08444, 121+08443, 121+08442, 121+08441, 121+08440"
187,"US-431 N @ TN-397/MACK HATCHER MEMORIAL PKY","121P07411","35.94536","-86.88097","0.47"," 3 h 12 m","4 d 18 m","0","9,432","2,188","35,683","2,878","765,714","121P07411, 121+07411, 121+07428"
188,"HOLMES RD W @ US-78/LAMAR AVE","113N14832","35.00597","-89.888","0.21"," 6 h 50 m","8 d 13 h 18 m","0","10,084","2,322","34,567","2,787","754,559","113N14832, 113-14832"
189,"US-441 S @ US-11/US-70/MAIN ST/CUMBERLAND AVE","121-10411","35.96089","-83.92117","0.2"," 3 h 27 m","4 d 7 h 41 m","0","21,659","1,189","15,365","1,320","753,672","121-10411, 121-10412, 121N10413"
190,"US-41A W @ US-79/TN-76/DOVER RD/DOVER XING RD","121N09208","36.55401","-87.3955","0.35"," 2 h 42 m","3 d 9 h 28 m","0","18,150","1,525","26,820","1,816","750,532","121N09208, 121-09208, 121-09209"
191,"TN-131 E @ I-75","121P10468","36.04907","-83.99999","0.24"," 3 h 55 m","4 d 21 h 43 m","0","16,955","1,181","14,828","1,395","750,122","121P10468, 121+10468, 121+10467, 121P10466, 121+10466, 121P10465"
192,"US-79 E @ TN-48/TRENTON RD","121P07148","36.56338","-87.31205","0.18"," 5 h 10 m","6 d 11 h 9 m","0","19,451","1,386","25,622","1,723","749,791","121P07148, 121+07148, 121P07147, 121+07147, 121P06009"
